	origin_source_name	origin_entity_id	tamr_id	API_NUMBER	COUNTY	LATITUDE_UNIFIED	LONGITUDE_UNIFIED	LATITUDE_SURFACE	LATITUDE_BOTTOM	LONGITUDE_BOTTOM	LONGITUDE_SURFACE	OPERATOR_ID	OPERATOR_NAME	SPUD_DATE	WELL_NAME	WELL_NUMBER	WELL_STATUS	FIELD_NAME	FIELD_ID	LEASE_NAME	NAMES_UNIFIED	WELL_NAME_UNIFIED	SPUD_DATE_tamr	API_NUMBER_strip	Geofeature
343	p	4	9		RUNNELS	31.8467549	-100.08196240000001	31.8467549	31.8467549	-100.08196240000001	-100.08196240000001	931621				2S				EVANS	EVANS	EVANS 2S			{'point': [-100.08196240000001, 31.8467549], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
848	p	2	7		TARRANT	32.618513199999995	-97.1466495	32.618513199999995	32.606018	-97.13941740000001	-97.1466495	147715		2009-12-27T00:00:00		1H	W			WHITE SOUTH	WHITE SOUTH	WHITE SOUTH 1H	2009-12-27		{'point': [-97.1466495, 32.618513199999995], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
700	W	4	7	'3500921455		35.365555555555559	-99.374222222222215					7697	WILLIFORD ENERGY COMPANY	2005-02-16	CITY OF ELK CITY	'1-1	PA				CITY OF ELK CITY	CITY OF ELK CITY '1-1	2005-02-16	'3500921455	{'point': [-99.37422222222222, 35.36555555555556], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
859	p	2	7		HOWARD	32.0891493	-101.2718382	32.0891493	32.0891493	-101.2718382	-101.2718382	172230		1992-02-18T00:00:00		26	W			"REED ""A"""	"REED ""A"""	"REED ""A"" 26"	1992-02-18		{'point': [-101.2718382, 32.0891493], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
637	W	3	7	'35083242370000		36.084491999999997	-97.371319999999997					23358	WHITE STAR PETROLEUM LLC	2013-12-18	FRIEND 3-19N-4W	'1WH	AC				FRIEND 3-19N-4W	FRIEND 3-19N-4W '1WH	2013-12-18	'3508324237	{'point': [-97.37132, 36.084492], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
751	p	3	7		ECTOR	31.9167527	-102.74962629999999	31.9167527	31.9167527	-102.74962629999999	-102.74962629999999	774720		1994-07-25T00:00:00		413	W			TXL NORTH UNIT	TXL NORTH UNIT	TXL NORTH UNIT 413	1994-07-25		{'point': [-102.74962629999999, 31.9167527], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
652	p	9	7		EASTLAND	32.4210662	-98.78480440000001	32.4210662	32.4210662	-98.78480440000001	-98.78480440000001	614120				1	W			TINDALL IV	TINDALL IV	TINDALL IV 1			{'point': [-98.78480440000001, 32.4210662], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
681	p	1	7		COLORADO	29.7063935	-96.48308409999999	29.7063935	29.709773600000002	-96.4798045	-96.48308409999999	810815				2				FURRY	FURRY	FURRY 2			{'point': [-96.48308409999999, 29.7063935], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
918	p	7	7		TARRANT	32.547171999999996	-97.2998949	32.547171999999996	32.5595968	-97.29904909999999	-97.2998949	216378				2H				ROSS, MARY	ROSS, MARY	ROSS, MARY 2H			{'point': [-97.2998949, 32.547171999999996], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
287	W	3	8	'3508323883		35.95485	-97.472750000000005					22387	HENDERSON OPERATING LLC	2008-05-17	CRESCENT THUNDER	'10	AC				CRESCENT THUNDER	CRESCENT THUNDER '10	2008-05-17	'3508323883	{'point': [-97.47275, 35.95485], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
